base_condition_key,scale,architecture,failure_family,load,seed,candidate_healing_count,healing_methods
S=S9_A=A_F=F2_L=L1_seed=1,S9,A,F2,L1,1,2,"H0,H2"
S=S9_A=A_F=F2_L=L1_seed=2,S9,A,F2,L1,2,2,"H0,H2"
S=S9_A=A_F=F2_L=L2_seed=1,S9,A,F2,L2,1,2,"H0,H2"
S=S9_A=A_F=F2_L=L2_seed=2,S9,A,F2,L2,2,2,"H0,H2"
S=S9_A=A_F=F3_L=L1_seed=1,S9,A,F3,L1,1,2,"H0,H3"
S=S9_A=A_F=F3_L=L1_seed=2,S9,A,F3,L1,2,2,"H0,H3"
S=S9_A=A_F=F3_L=L2_seed=1,S9,A,F3,L2,1,2,"H0,H3"
S=S9_A=A_F=F3_L=L2_seed=2,S9,A,F3,L2,2,2,"H0,H3"
S=S9_A=A_F=F4_L=L1_seed=1,S9,A,F4,L1,1,2,"H0,H4"
S=S9_A=A_F=F4_L=L1_seed=2,S9,A,F4,L1,2,2,"H0,H4"
S=S9_A=A_F=F4_L=L2_seed=1,S9,A,F4,L2,1,2,"H0,H4"
S=S9_A=A_F=F4_L=L2_seed=2,S9,A,F4,L2,2,2,"H0,H4"
S=S9_A=B_F=F0_L=L1_seed=1,S9,B,F0,L1,1,1,H0
S=S9_A=B_F=F0_L=L2_seed=1,S9,B,F0,L2,1,1,H0
S=S9_A=B_F=F1_L=L1_seed=1,S9,B,F1,L1,1,2,"H0,H1"
S=S9_A=B_F=F1_L=L1_seed=2,S9,B,F1,L1,2,2,"H0,H1"
S=S9_A=B_F=F1_L=L2_seed=1,S9,B,F1,L2,1,2,"H0,H1"
S=S9_A=B_F=F1_L=L2_seed=2,S9,B,F1,L2,2,2,"H0,H1"
S=S9_A=B_F=F2_L=L1_seed=1,S9,B,F2,L1,1,2,"H0,H2"
S=S9_A=B_F=F2_L=L1_seed=2,S9,B,F2,L1,2,2,"H0,H2"
S=S9_A=B_F=F2_L=L2_seed=1,S9,B,F2,L2,1,2,"H0,H2"
S=S9_A=B_F=F2_L=L2_seed=2,S9,B,F2,L2,2,2,"H0,H2"
S=S9_A=B_F=F3_L=L1_seed=1,S9,B,F3,L1,1,2,"H0,H3"
S=S9_A=B_F=F3_L=L1_seed=2,S9,B,F3,L1,2,2,"H0,H3"
S=S9_A=B_F=F3_L=L2_seed=1,S9,B,F3,L2,1,2,"H0,H3"
S=S9_A=B_F=F3_L=L2_seed=2,S9,B,F3,L2,2,2,"H0,H3"
S=S9_A=B_F=F4_L=L1_seed=1,S9,B,F4,L1,1,2,"H0,H4"
S=S9_A=B_F=F4_L=L1_seed=2,S9,B,F4,L1,2,2,"H0,H4"
S=S9_A=B_F=F4_L=L2_seed=1,S9,B,F4,L2,1,2,"H0,H4"
S=S9_A=B_F=F4_L=L2_seed=2,S9,B,F4,L2,2,2,"H0,H4"
